idx,deg,surv,err,ret_suc,time,first_location,first_freq,sec_location,sec_freq
MV_1,2,0.9607843137254902,0.019219530565090324,97,0.4906275380584731,11,3,10,3
MV_2,2,0.9901960784313726,0.009755744758307854,100,0.5,,,,
MV_3,3,0.9803921568627451,0.013728236117921679,99,0.49609207269783684,2,1,,
MV_4,2,0.9803921568627451,0.013728236117921679,99,0.4960575593934115,11,1,10,1
MV_5,2,0.9803921568627451,0.013728236117921679,99,0.4960451878895189,11,1,10,1
MV_6,1,0.9901960784313726,0.009755744758307854,100,0.5,,,,
MV_7,1,0.9901960784313726,0.009755744758307854,100,0.5,,,,
MV_8,3,0.9705882352941176,0.016729307617485915,98,0.4920869586398864,11,2,10,2
MV_9,2,0.9411764705882353,0.023297589246509983,95,0.4802437646826527,3,4,11,3
MV_10,2,0.9607843137254902,0.019219530565090324,97,0.48814012808298357,9,3,8,3
MV_11,1,0.9901960784313726,0.009755744758307854,100,0.5,,,,
